id,Workplaces,College,School,Places,Gender
265,works at tuyển dụng cần thơ|works at tuyển dụng cần thơ|works at tuyển dụng cần thơ,no schools to show,went to thpt nguyễn bỉnh khiêm-châu thành-an giang,"can tho|angiang, an giang, vietnam",notknown
266,"works at phú tân, an giang|works at phú tân, an giang",no schools to show,no schools to show,"ấp trung, an giang, vietnam|angiang, an giang, vietnam",notknown
267,works at 國立中央大學 national central university - ncu|works at 國立中央大學 national central university - ncu,studied at can tho university|studied at can tho university,"went to thpt tân châu, tân châu, an giang",can tho|tân châu,female
268,works at xây dựng|works at xây dựng,studied at trường đời,went to trường thpt tân châu,"binh thanh, hồ chí minh, vietnam|ho chi minh city, vietnam",male
269,no workplaces to show,no schools to show,no schools to show,no places to show,notknown
270,fitness supervisor at s'life gym|fitness supervisor at s'life gym|fitness supervisor at s'life gym|fitness supervisor at s'life gym|fitness supervisor at s'life gym|fitness supervisor at s'life gym|fitness supervisor at s'life gym|fitness supervisor at s'life gym|fitness supervisor at s'life gym,studied hotel management at cao đẳng du lịch sài gòn,went to cao đẳng du lịch sài gòn|went to cao đẳng du lịch sài gòn,"ho chi minh city, vietnam|ho chi minh city, vietnam",male
271,no workplaces to show,no schools to show,no schools to show,no places to show,notknown
272,no workplaces to show,no schools to show,no schools to show,"hanoi, vietnam",notknown
273,no workplaces to show,no schools to show,no schools to show,no places to show,notknown
274,illustrator at deviantart,no schools to show,no schools to show,bac giang|bac giang,male
275,quản lý at dịch vụ theo dõi tin nhắn vợ chồng|quản lý at dịch vụ theo dõi tin nhắn vợ chồng|quản lý at dịch vụ theo dõi tin nhắn vợ chồng|quản lý at dịch vụ theo dõi tin nhắn vợ chồng|quản lý at dịch vụ theo dõi tin nhắn vợ chồng|quản lý at dịch vụ theo dõi tin nhắn vợ chồng|quản lý at dịch vụ theo dõi tin nhắn vợ chồng|quản lý at dịch vụ theo dõi tin nhắn vợ chồng,no schools to show,no schools to show,"cao lãnh|ho chi minh city, vietnam",female
276,no workplaces to show,studied công nghệ kỹ thuật ô tô (automotive engineering technology) at hutech - đại học công nghệ tp.hcm,"went to thpt tân châu, tân châu, an giang","angiang, an giang, vietnam",notknown
277,internship at nab innovation centre vietnam|internship at nab innovation centre vietnam,"studies công nghệ thông tin at trường đại học khoa học tự nhiên, đại học quốc gia tp.hcm","went to trường trung học phổ thông nguyễn thượng hiền, thành phố hồ chí minh","ho chi minh city, vietnam|ho chi minh city, vietnam",notknown
278,no workplaces to show,no schools to show,no schools to show,no places to show,male
279,no workplaces to show,no schools to show,no schools to show,long xuyên|long xuyên,male
280,nhân viên at circle k vietnam,no schools to show,no schools to show,"ho chi minh city, vietnam|ấp tân phú, an giang, vietnam",notknown
281,no workplaces to show,no schools to show,no schools to show,"ap binh duong (1), vietnam|phu giáo, vietnam",notknown
282,no workplaces to show,no schools to show,no schools to show,"hanoi, vietnam|hanoi, vietnam",male
283,"works at tân châu, an giang",no schools to show,no schools to show,tân châu,notknown
284,no workplaces to show,studies sư phạm địa lý at trường đại học an giang|studies sư phạm địa lý at trường đại học an giang,no schools to show,no places to show,male
